county,pop_without_access,percent_total_pop,pop_density,per_capita_income,urban_pop_without_access,percent_urban_pop,urban_pop_density,rural_pop_without_access,percent_rural_pop,rural_pop_density
Essex County,"6,640",18%,20.627,"$26,755 ",.,.,"1,635.58","6,640",24%,15.361
Franklin County,"9,170",18%,30.782,"$22,322 ",.,.,"1,857.24","9,170",29%,19.393
Fulton County,"4,363",8%,110.213,"$24,265 ",.,.,"1,942.19","4,363",16%,56.337
Genesee County,"2,187",4%,117.516,"$25,721 ",.,.,"2,040.90","2,187",6%,71.078
Greene County,"42,031",89%,73.323,"$25,770 ","12,658",98%,"1,523.94","29,373",85%,54.163
Hamilton County,"3,419",82%,2.43,"$29,974 ",.,.,.,"3,419",82%,2.43
Herkimer County,"7,984",13%,43.868,"$23,607 ",.,.,"1,748.71","7,984",25%,22.49
Jefferson County,"15,752",14%,91.837,"$23,681 ",.,.,"1,429.01","15,752",29%,45.019
Kings County,.,.,"37,249.98","$25,932 ",.,.,"40,946.05",.,.,1.408
Lewis County,"6,501",26%,19.818,"$23,723 ",.,.,"1,908.25","6,501",30%,17.188
Livingston County,"6,912",11%,98.763,"$23,981 ",.,.,"1,421.12","6,912",21%,54.458
Madison County,"5,430",8%,110.366,"$25,786 ",.,.,"1,780.21","5,430",13%,66.18
Monroe County,277,0%,"1,121.27","$29,170 ",.,.,"2,343.30",277,1%,128.345
Montgomery County,"7,557",15%,121.101,"$23,809 ",.,.,"1,813.77","7,557",39%,50.37
Nassau County,.,.,"4,614.99","$42,949 ",.,.,"5,067.66",.,.,94.461
New York County,"3,271",0%,"73,077.08","$63,610 ","3,271",0%,"73,077.08",.,.,.
Niagara County,"1,696",1%,406.297,"$26,710 ",.,.,"1,750.72","1,696",4%,112.34
Oneida County,"9,287",4%,190.245,"$25,633 ",1,0%,"1,761.21","9,286",13%,65.594
Onondaga County,"1,381",0%,591.75,"$29,156 ",.,.,"2,134.15","1,381",2%,96.276
Ontario County,"5,944",6%,166.922,"$30,346 ",.,.,"1,443.40","5,944",12%,83.393
Orange County,115,0%,460.528,"$30,561 ",.,.,"1,583.19",115,0%,129.932
Orleans County,724,2%,104.263,"$22,350 ",.,.,"1,947.82",724,3%,64.739
Oswego County,"7,377",6%,123.951,"$23,472 ",.,.,"1,616.60","7,377",10%,77.245
Otsego County,"11,027",19%,57.808,"$24,263 ",.,.,"1,841.14","11,027",28%,40.125
Putnam County,593,1%,420.826,"$40,967 ",506,1%,962.07,87,0%,130.55
Queens County,1,0%,"21,250.61","$26,580 ",1,0%,"21,838.93",.,.,0
Rensselaer County,"4,989",3%,243,"$30,285 ",.,.,"1,605.55","4,989",10%,82.044
Richmond County,2,0%,"8,244.20","$32,091 ",2,0%,"8,244.20",.,.,.
Rockland County,9,0%,"1,831.04","$34,833 ",.,.,"2,643.47",9,0%,41.594
St. Lawrence County,"13,193",12%,40.461,"$22,908 ",.,.,"2,145.30","13,193",20%,25.052
Saratoga County,558,0%,272.831,"$35,860 ",.,.,"1,499.39",558,1%,92.604
Schenectady County,975,1%,770.419,"$28,609 ",78,0%,"2,402.30",897,7%,84.411
Schoharie County,"8,772",29%,49.49,"$26,097 ",.,.,"1,740.28","8,772",35%,40.869
Schuyler County,"3,740",23%,49.428,"$24,529 ",.,.,"1,181.52","3,740",28%,40.605
Seneca County,"6,787",20%,103.634,"$23,823 ",.,.,"1,647.84","6,787",35%,62.303
Steuben County,"16,306",18%,66.992,"$25,696 ",2,0%,"1,804.27","16,304",29%,40.436
Suffolk County,263,0%,"1,611.87","$37,427 ",.,.,"2,422.63",263,1%,111.974
Sullivan County,"1,521",2%,76.402,"$25,336 ",.,.,"1,359.60","1,521",3%,56.863
Tioga County,"3,369",7%,94.5,"$28,803 ",.,.,"1,358.81","3,369",11%,63.174
Tompkins County,"4,028",4%,211.007,"$27,829 ",.,.,"2,028.43","4,028",10%,94.763
Ulster County,"1,848",1%,157.667,"$30,868 ",.,.,"1,152.52","1,848",2%,77.878
Warren County,"4,823",7%,75.111,"$30,662 ",.,.,"1,446.95","4,823",23%,25.524
Washington County,"12,739",20%,75.5,"$23,877 ",.,.,"1,926.04","12,739",30%,51.434
Wayne County,"4,250",5%,149.29,"$25,643 ",.,.,"1,158.55","4,250",8%,93.525
Westchester County,.,.,"2,197.52","$48,487 ",.,.,"3,329.52",.,.,194.347
Wyoming County,"5,683",14%,67.869,"$23,708 ",.,.,"2,408.32","5,683",23%,42.935
Yates County,"7,041",29%,71.417,"$25,436 ",60,1%,"1,819.78","6,981",41%,51.246
North Carolina,"738,306",7%,208.099,.,"77,082",1%,"1,479.91","661,224",20%,74.898
Alamance County,"3,336",2%,373.302,"$23,324 ",.,.,"1,449.57","3,336",7%,131.215
Alexander County,"2,822",7%,146.673,"$20,112 ",.,.,731.734,"2,822",10%,112.506
Alleghany County,"1,330",12%,45.903,"$19,452 ",.,.,.,"1,330",12%,45.903
Anson County,"2,284",9%,47.818,"$17,091 ",.,.,"1,048.06","2,284",11%,37.801
Ashe County,"4,522",17%,63.818,"$21,149 ","2,071",52%,727.792,"2,451",11%,55.096
Avery County,"3,327",20%,67.689,"$21,541 ",3,0%,867.558,"3,324",23%,60.19
Beaufort County,"13,960",30%,56.492,"$21,789 ",749,5%,"1,053.21","13,211",44%,37.246
Bertie County,"7,428",35%,30.177,"$16,557 ","1,200",32%,"1,578.78","6,228",36%,24.923
Bladen County,"14,424",44%,37.675,"$19,059 ",.,.,"1,099.37","14,424",48%,34.617
Brunswick County,"17,749",15%,143.418,"$27,260 ",341,0%,983.377,"17,408",34%,66.058
Buncombe County,715,0%,382.262,"$26,930 ",3,0%,"1,241.45",712,1%,119.673
Burke County,"2,174",2%,176.756,"$20,346 ",.,.,732.316,"2,174",6%,87.653
Cabarrus County,307,0%,553.312,"$25,544 ",.,.,"1,494.84",307,1%,146.47
Caldwell County,"1,152",1%,176.058,"$19,397 ",.,.,801.505,"1,152",4%,70.65
Camden County,813,7%,47.091,"$26,388 ",7,14%,"2,170.36",806,7%,46.892
Carteret County,54,0%,131.142,"$27,975 ",.,.,934.568,54,0%,47.509
Caswell County,"12,443",55%,53.33,"$19,057 ",13,7%,963.665,"12,430",55%,52.901
Catawba County,375,0%,393.874,"$23,355 ",.,.,861.954,375,1%,177.544
Chatham County,"18,765",28%,99.567,"$32,369 ",31,0%,"1,398.21","18,734",43%,66.118
Cherokee County,"20,194",74%,59.821,"$18,556 ",.,.,.,"20,194",74%,59.821
Chowan County,"2,841",19%,87.382,"$21,179 ",3,0%,"1,549.21","2,838",27%,60.941
Clay County,"5,410",50%,50.808,"$21,935 ",.,.,.,"5,410",50%,50.808
Cleveland County,"5,023",5%,207.09,"$20,512 ",.,.,980.804,"5,023",9%,127.96
Columbus County,"11,653",21%,59.732,"$19,289 ","1,694",15%,855.312,"9,959",22%,48.502
Craven County,"9,867",9%,148.275,"$24,582 ","1,474",2%,"1,300.23","8,393",30%,43.468
Cumberland County,"2,737",1%,499.848,"$23,204 ",.,.,"1,720.08","2,737",7%,85.326
Currituck County,935,4%,97.46,"$26,703 ",.,.,567.996,935,4%,96.098
Dare County,210,1%,90.859,"$30,958 ",.,.,869.085,210,2%,28.928
Davidson County,"5,216",3%,298.991,"$22,465 ",435,1%,948.907,"4,781",6%,169.982
Davie County,103,0%,166.112,"$26,739 ",.,.,897.956,103,0%,123.222
Duplin County,"18,078",31%,71.717,"$17,677 ",46,1%,"1,283.47","18,032",35%,62.923
Durham County,"2,176",1%,"1,017.56","$29,801 ",.,.,"2,053.20","2,176",14%,101.617
Edgecombe County,"13,511",25%,106.65,"$17,652 ",637,2%,"1,412.14","12,874",53%,50.215
Forsyth County,.,.,909.448,"$26,670 ",.,.,"1,435.72",.,.,154.496
Franklin County,"9,722",15%,132.722,"$21,836 ",.,.,984.773,"9,722",18%,115.008
Gaston County,27,0%,611.105,"$22,654 ",.,.,"1,288.69",27,0%,192.723
Gates County,"12,805",100%,37.613,"$22,207 ",.,.,.,"12,805",100%,37.613
Graham County,"4,028",49%,28.105,"$20,525 ",.,.,.,"4,028",49%,28.105
Granville County,"13,900",22%,118.357,"$22,756 ","5,355",19%,"1,115.87","8,545",25%,67.982
Greene County,"20,850",96%,81.654,"$18,477 ",.,.,.,"20,850",96%,81.654
Guilford County,"1,073",0%,801.659,"$26,322 ",.,.,"1,807.61","1,073",2%,162.4
Halifax County,"9,617",19%,71.204,"$18,728 ",35,0%,"1,518.28","9,582",34%,39.28
Harnett County,"2,560",2%,211.469,"$20,274 ",.,.,"1,194.00","2,560",4%,127.092
Haywood County,"8,093",14%,104.52,"$24,870 ",.,.,"1,059.66","8,093",25%,60.723
Henderson County,"20,516",18%,302.556,"$25,617 ","2,732",4%,881.731,"17,784",47%,131.769
Hertford County,"3,157",14%,64.929,"$17,289 ",.,.,"1,656.00","3,157",20%,44.916
Hoke County,"4,971",9%,134.303,"$19,036 ",2,0%,"1,219.58","4,969",23%,58.804
Hyde County,"5,506",99%,9.042,"$19,796 ",.,.,.,"5,506",99%,9.042
Iredell County,"4,569",3%,305.805,"$27,125 ",.,.,"1,134.87","4,569",7%,137.777
Jackson County,"26,532",67%,81.012,"$21,033 ",313,3%,"1,434.31","26,219",92%,59.133
Johnston County,"9,874",5%,241.828,"$22,589 ",.,.,"1,062.43","9,874",10%,139.241
Jones County,"5,658",59%,20.514,"$20,634 ",.,.,.,"5,658",59%,20.514
Lee County,871,1%,239.407,"$21,556 ",.,.,"1,206.90",871,3%,115.51
Lenoir County,"10,195",18%,143.4,"$19,330 ","1,433",5%,889.591,"8,762",33%,71.845
Lincoln County,105,0%,287.429,"$25,693 ",.,.,883.69,105,0%,184.315
McDowell County,"10,225",23%,102.363,"$18,730 ",70,1%,851.442,"10,155",32%,74.605
Macon County,"17,137",51%,65.771,"$24,120 ",6,0%,751.885,"17,131",63%,53.385
Madison County,.,.,44.894,"$20,791 ",.,.,"1,284.42",.,.,40.45
Martin County,"6,551",30%,48.023,"$19,313 ",29,1%,"1,482.82","6,522",38%,37.747
Mecklenburg County,2,0%,"1,999.85","$32,817 ",2,0%,"2,299.70",.,.,144.377
Mitchell County,"1,858",13%,66.248,"$21,388 ",174,7%,516.48,"1,684",14%,55.58
Montgomery County,"14,489",55%,53.63,"$19,193 ","3,476",54%,"1,008.72","11,013",55%,41.132
Moore County,"9,527",10%,130.901,"$29,570 ",.,.,978.555,"9,527",21%,70.941
Nash County,"11,934",12%,179.587,"$23,056 ","1,835",4%,"1,537.54","10,099",22%,90.06
New Hanover County,182,0%,"1,146.28","$29,742 ",4,0%,"1,954.28",178,4%,56.006
Northampton County,"5,454",27%,38.085,"$18,546 ",6,0%,"1,102.35","5,448",30%,34.094
Onslow County,172,0%,250.519,"$21,583 ",.,.,"1,310.92",172,0%,76.899
Orange County,"9,358",7%,358.591,"$35,406 ",.,.,"2,071.19","9,358",24%,113.225
Pamlico County,"1,738",14%,37.758,"$24,854 ",.,.,.,"1,738",14%,37.758
Pasquotank County,.,.,194.085,"$22,466 ",.,.,"1,498.63",.,.,88.718
Pender County,"11,578",20%,66.005,"$23,383 ",.,.,902.342,"11,578",30%,45.704
Perquimans County,"2,943",20%,59.651,"$23,260 ",.,.,.,"2,943",20%,59.651
Person County,"3,290",8%,98.689,"$21,191 ",.,.,"1,292.15","3,290",11%,76.2
Pitt County,"17,311",9%,281.379,"$23,439 ","6,195",4%,"1,893.33","11,116",25%,77.598
Polk County,"4,680",23%,85.723,"$26,686 ",.,.,882.053,"4,680",25%,79.979
Randolph County,"5,150",4%,184.965,"$20,892 ",84,0%,"1,092.44","5,066",6%,111.212
Richmond County,"3,133",7%,92.794,"$17,982 ",.,.,952.886,"3,133",15%,45.054
Robeson County,"19,463",15%,138.349,"$15,460 ",.,.,"1,137.30","19,463",24%,91.242
Rockingham County,"3,966",4%,161.46,"$21,138 ",.,.,"1,048.88","3,966",7%,107.035
Rowan County,"2,850",2%,275.638,"$21,149 ",.,.,"1,098.46","2,850",5%,126.551
Rutherford County,"63,759",96%,118.101,"$19,686 ","24,337",95%,733.43,"39,422",96%,77.286
Sampson County,"51,287",82%,66.466,"$19,463 ","7,973",88%,"1,140.10","43,314",81%,57.312
Scotland County,"2,875",8%,106.952,"$15,787 ",.,.,"1,042.90","2,875",17%,54.811
Stanly County,218,0%,151.597,"$20,880 ",.,.,902.577,218,1%,109.795
Stokes County,"2,490",5%,106.691,"$21,406 ",.,.,921.283,"2,490",7%,82.275
Surry County,"3,354",5%,137.513,"$20,164 ",.,.,817.435,"3,354",7%,100.35
Swain County,"7,526",53%,26.655,"$19,312 ",.,.,.,"7,526",53%,26.655
Transylvania County,"33,455",100%,88.382,"$24,551 ","13,494",100%,"1,092.40","19,961",100%,54.512
Tyrrell County,"2,572",60%,11.045,"$16,217 ",.,.,.,"2,572",60%,11.045
Union County,"2,052",1%,376.135,"$28,765 ",.,.,"1,447.44","2,052",3%,120.065
Vance County,"2,468",6%,173.369,"$18,815 ",.,.,"1,082.32","2,468",10%,102.762
Wake County,"2,667",0%,"1,250.29","$33,727 ",50,0%,"2,082.52","2,617",4%,168.922
Warren County,"9,493",48%,46.266,"$19,022 ",.,.,.,"9,493",48%,46.266
Washington County,"2,420",19%,36.54,"$18,794 ",115,3%,"1,134.04","2,305",27%,24.986
Watauga County,530,1%,167.468,"$21,801 ",.,.,"1,783.89",530,2%,94.687
Wayne County,"3,166",3%,222.831,"$21,818 ",82,0%,"1,149.99","3,084",5%,118.557
Wilkes County,376,1%,89.65,"$18,441 ",.,.,683.477,376,1%,67.597
Wilson County,"1,391",2%,225.518,"$21,426 ",573,1%,"2,054.20",818,3%,91.977
Yadkin County,218,1%,116.023,"$22,338 ",.,.,"1,027.25",218,1%,99.862
Yancey County,"2,435",14%,56.357,"$21,330 ",.,.,.,"2,435",14%,56.357
North Dakota,"97,315",14%,10.044,.,"11,294",2%,"2,522.74","86,021",37%,3.334
Adams County,75,4%,1.776,"$33,132 ",.,.,.,75,4%,1.776
Barnes County,"1,766",17%,6.827,"$32,698 ",11,0%,"1,444.47","1,755",53%,2.234
Benson County,"4,819",80%,4.321,"$19,443 ",.,.,.,"4,819",80%,4.321
Billings County,504,84%,0.521,"$42,832 ",.,.,.,504,84%,0.521
Bottineau County,"1,481",28%,3.17,"$31,638 ",.,.,.,"1,481",28%,3.17
Bowman County,199,7%,2.345,"$34,290 ",.,.,.,199,7%,2.345
Burke County,"1,314",100%,1.191,"$33,174 ",.,.,.,"1,314",100%,1.191
Burleigh County,"2,703",3%,59.199,"$33,644 ","2,640",3%,"2,615.47",63,0%,10.528
Cass County,"8,017",5%,100.003,"$31,415 ","1,625",1%,"3,035.44","6,392",40%,9.276
Cavalier County,"1,370",44%,2.078,"$36,141 ",.,.,.,"1,370",44%,2.078
Dickey County,.,.,3.815,"$27,056 ",.,.,.,.,.,3.815
Divide County,"1,380",89%,1.227,"$41,003 ",.,.,.,"1,380",89%,1.227
Dunn County,627,22%,1.392,"$38,216 ",.,.,.,627,22%,1.392
Eddy County,275,17%,2.534,"$29,059 ",.,.,.,275,17%,2.534
Emmons County,1,0%,1.474,"$28,042 ",.,.,.,1,0%,1.474
Foster County,79,4%,3.451,"$30,060 ",.,.,.,79,4%,3.451
Golden Valley County,"1,140",99%,1.151,"$28,359 ",.,.,.,"1,140",99%,1.151
Grand Forks County,"11,727",16%,49.988,"$27,772 ","4,943",8%,"2,751.62","6,784",69%,6.946
Grant County,72,4%,1.014,"$31,092 ",.,.,.,72,4%,1.014
Griggs County,883,52%,2.411,"$29,528 ",.,.,.,883,52%,2.411
Hettinger County,2,0%,1.606,"$28,719 ",.,.,.,2,0%,1.606
Kidder County,3,0%,1.233,"$32,233 ",.,.,.,3,0%,1.233
LaMoure County,.,.,2.501,"$33,368 ",.,.,.,.,.,2.501
Logan County,.,.,1.361,"$30,798 ",.,.,.,.,.,1.361
McHenry County,"1,160",30%,2.094,"$29,987 ",.,.,.,"1,160",30%,2.094
McIntosh County,.,.,1.742,"$27,384 ",.,.,.,.,.,1.742
McKenzie County,"5,996",98%,2.209,"$34,688 ",.,.,.,"5,996",98%,2.209
McLean County,"3,375",45%,3.516,"$31,187 ",.,.,.,"3,375",45%,3.516
Mercer County,.,.,7.03,"$31,584 ",.,.,"2,140.23",.,.,4.199
Morton County,"2,010",7%,15.623,"$30,293 ",437,2%,"2,312.46","1,573",19%,4.319
Mountrail County,"6,910",98%,3.867,"$33,839 ",.,.,.,"6,910",98%,3.867
Nelson County,458,21%,2.231,"$30,411 ",.,.,.,458,21%,2.231
Oliver County,135,10%,1.842,"$31,194 ",.,.,.,135,10%,1.842
Pembina County,745,12%,5.476,"$29,093 ",.,.,.,745,12%,5.476
Pierce County,148,4%,3.676,"$24,729 ",.,.,"1,780.62",148,14%,1.059
Ramsey County,"1,135",10%,9.18,"$28,670 ",15,0%,"2,302.14","1,120",33%,2.883
Ransom County,"1,323",29%,5.356,"$28,896 ",.,.,.,"1,323",29%,5.356
Renville County,446,25%,2.055,"$31,781 ",.,.,.,446,25%,2.055
Richland County,"5,842",41%,9.918,"$28,499 ","1,076",13%,"1,762.12","4,766",76%,4.371
Rolette County,"12,151",87%,15.469,"$15,825 ",.,.,.,"12,151",87%,15.469
Sargent County,65,2%,3.473,"$32,086 ",.,.,.,65,2%,3.473
Sheridan County,266,32%,0.864,"$33,010 ",.,.,.,266,32%,0.864
Sioux County,110,3%,3.807,"$16,287 ",.,.,.,110,3%,3.807
Slope County,7,1%,0.415,"$33,389 ",.,.,.,7,1%,0.415
Stark County,246,1%,19.58,"$33,396 ",.,.,"2,668.72",246,4%,4.498
Steele County,"1,141",85%,1.877,"$33,619 ",.,.,.,"1,141",85%,1.877
Stutsman County,918,5%,9.057,"$29,361 ",.,.,"1,584.39",918,20%,2.032
Towner County,668,47%,1.384,"$34,103 ",.,.,.,668,47%,1.384
Traill County,"1,144",17%,7.845,"$29,736 ",.,.,.,"1,144",17%,7.845
Walsh County,"2,300",25%,7.206,"$29,322 ",149,4%,"2,144.67","2,151",41%,4.136
Ward County,"4,855",7%,33.304,"$29,564 ",314,1%,"2,054.78","4,541",36%,6.267
Wells County,478,16%,2.375,"$29,980 ",.,.,.,478,16%,2.375
Williams County,"4,846",20%,11.604,"$41,984 ",84,0%,"2,393.94","4,762",68%,3.372
Northern Mariana Islands,"51,455",100%,282.207,.,"33,906",100%,"1,266.98","17,549",100%,112.805
Northern Islands,"7,659",100%,123.946,.,.,.,.,"7,659",100%,123.946
Rota,"4,399",100%,133.884,.,.,.,.,"4,399",100%,133.884
Saipan,"34,652",100%,755.111,.,"30,516",100%,"1,330.98","4,136",100%,180.12
Tinian,"4,745",100%,113.542,.,"3,390",100%,884.256,"1,355",100%,35.698
Ohio,"983,927",8%,283.856,.,"202,958",2%,"2,060.66","780,969",31%,68.325
Adams County,"13,687",49%,48.15,"$17,695 ",.,.,"1,454.01","13,687",55%,42.986
Allen County,"4,898",5%,256.457,"$22,585 ",.,.,"1,395.35","4,898",18%,76.928
Ashland County,"14,793",28%,124.989,"$22,441 ","2,593",13%,"2,542.05","12,200",37%,78.456
Ashtabula County,"8,026",8%,142.24,"$20,284 ",98,0%,"1,233.32","7,928",17%,70.112
Athens County,"23,301",36%,127.113,"$17,069 ","8,320",22%,"2,440.46","14,981",56%,54.749
Auglaize County,"6,317",14%,112.099,"$25,033 ",15,0%,"1,720.65","6,302",38%,43.241
Belmont County,"11,740",17%,126.201,"$23,285 ","1,796",6%,"1,698.90","9,944",27%,71.533
Brown County,"15,901",36%,90.422,"$22,088 ","2,482",24%,"1,377.03","13,419",40%,70.057
Butler County,"3,200",1%,838.183,"$27,394 ",.,.,"2,046.32","3,200",9%,120.498
Carroll County,"13,027",48%,69.142,"$22,359 ",155,2%,"1,356.96","12,872",67%,49.3
Champaign County,"7,007",17%,93.681,"$23,573 ",.,.,"2,078.17","7,007",25%,67.353
Clark County,"1,458",1%,342.388,"$22,941 ",.,.,"1,707.16","1,458",5%,94.987
Clermont County,"1,235",1%,465.822,"$28,708 ",.,.,"1,504.92","1,235",3%,136.799
Clinton County,"10,657",25%,105.145,"$22,828 ",.,.,"2,065.33","10,657",46%,58.321
Columbiana County,"24,046",23%,195.165,"$22,573 ","4,803",8%,"1,413.52","19,243",43%,92.07
Coshocton County,"11,315",32%,62.089,"$20,799 ",8,0%,"2,087.95","11,307",53%,38.305
Crawford County,"5,821",14%,100.765,"$21,938 ",.,.,"1,763.72","5,821",42%,35.567
Cuyahoga County,"13,873",1%,"2,730.30","$27,892 ","13,873",1%,"2,987.37",.,.,170.185
Darke County,"8,177",16%,83.023,"$22,582 ",.,.,"2,266.30","8,177",25%,54.987
Defiance County,"9,169",25%,90.344,"$23,539 ",82,0%,"1,368.65","9,087",58%,39.696
Delaware County,"4,705",2%,445.315,"$41,357 ",.,.,"1,937.55","4,705",13%,100.266
Erie County,"3,929",5%,301.434,"$26,909 ","1,153",2%,"1,628.02","2,776",14%,90.767
Fairfield County,"14,331",9%,302.533,"$28,099 ",151,0%,"2,038.18","14,180",28%,112.052
Fayette County,"4,316",15%,72.112,"$21,033 ",.,.,"2,309.63","4,316",32%,34.227
Franklin County,"3,029",0%,"2,285.28","$28,807 ","1,369",0%,"3,136.02","1,660",11%,103.341
Fulton County,"8,026",19%,103.114,"$26,070 ",12,0%,"1,661.13","8,014",35%,58.402
Gallia County,"20,380",67%,64.99,"$21,049 ","1,854",33%,"1,105.26","18,526",75%,53.579
Geauga County,"8,978",9%,239.237,"$35,407 ",56,0%,754.026,"8,922",15%,172.346
Greene County,"6,455",4%,400.486,"$30,629 ",84,0%,"1,971.37","6,371",27%,69.898
Guernsey County,"7,802",21%,70.749,"$21,559 ",.,.,"1,399.78","7,802",34%,44.494
Hamilton County,223,0%,"2,002.56","$30,062 ",165,0%,"2,598.09",58,0%,182.63
Hancock County,"5,017",7%,140.64,"$26,612 ",.,.,"2,062.74","5,017",23%,43.49
Hardin County,"6,037",19%,67.2,"$20,011 ",.,.,"2,477.01","6,037",35%,36.891
Harrison County,"12,002",82%,36.206,"$22,180 ","1,843",75%,"1,415.15","10,159",84%,30.264
Henry County,"7,347",28%,62.203,"$24,604 ",.,.,"1,572.18","7,347",42%,42.363
Highland County,"12,856",30%,77.905,"$19,587 ",.,.,"1,984.72","12,856",41%,57.38
Hocking County,"13,027",44%,69.949,"$21,253 ",478,6%,"2,102.96","12,549",60%,49.816
Holmes County,"31,596",75%,100.215,"$17,716 ",30,1%,"1,587.79","31,566",80%,94.005
Huron County,"11,584",20%,118.044,"$22,666 ",431,1%,"2,000.45","11,153",39%,60.31
Jackson County,"9,177",28%,77.751,"$20,250 ",69,1%,"1,860.10","9,108",44%,50.409
Jefferson County,"21,235",32%,163.263,"$22,591 ","7,264",18%,"1,494.34","13,971",55%,67.065
Knox County,"15,562",25%,116.462,"$23,926 ",10,0%,"1,507.74","15,552",46%,66.884
Lake County,691,0%,"1,039.29","$29,556 ",449,0%,"1,698.50",242,2%,155.63
Lawrence County,"9,460",15%,139.085,"$21,760 ","1,838",5%,"1,671.42","7,622",27%,66.164
Licking County,"7,764",5%,252.697,"$27,082 ",.,.,"1,841.63","7,764",13%,95.245
Logan County,"8,322",19%,96.56,"$23,897 ",.,.,"1,765.92","8,322",33%,56.326
Lorain County,"31,855",10%,636.034,"$26,487 ","19,454",7%,"1,690.05","12,401",35%,108.156
Lucas County,"7,806",2%,"1,276.73","$24,683 ","5,819",1%,"2,459.54","1,987",10%,114.1
Madison County,"7,868",18%,96.382,"$23,994 ",70,0%,"2,800.40","7,798",37%,45.606
Mahoning County,"5,865",3%,557.901,"$23,628 ","3,406",2%,"1,696.71","2,459",7%,118.763
Marion County,"4,610",7%,165.411,"$20,986 ",.,.,"1,720.86","4,610",24%,50.601
Medina County,"3,987",2%,432.547,"$31,291 ",530,0%,"1,854.15","3,457",7%,148.313
Meigs County,"11,652",51%,52.874,"$19,097 ",652,15%,"1,332.98","11,000",60%,43.282
Mercer County,"6,335",16%,84.989,"$24,362 ",.,.,"2,401.26","6,335",27%,52.181
Miami County,"3,037",3%,255.799,"$25,654 ",.,.,"2,034.92","3,037",10%,83.86
Monroe County,"12,817",99%,28.316,"$22,337 ",331,100%,293.529,"12,486",99%,27.658
Montgomery County,"1,028",0%,"1,143.16","$25,171 ",.,.,"2,196.28","1,028",5%,97.241
Morgan County,"7,408",53%,33.682,"$21,010 ",.,.,"1,653.49","7,408",64%,27.765
Morrow County,"12,796",37%,85.749,"$22,825 ",.,.,"1,847.12","12,796",42%,75.653
Muskingum County,"8,697",10%,127.743,"$20,887 ",.,.,"1,508.37","8,697",22%,62.854
Noble County,"5,889",42%,35.607,"$20,719 ",.,.,"1,992.26","5,889",69%,21.693
Ottawa County,"4,900",12%,156.588,"$28,703 ",88,0%,946.63,"4,812",24%,84.3
Paulding County,"7,012",39%,42.914,"$23,565 ",.,.,"1,858.60","7,012",49%,34.754
Perry County,"15,450",43%,88.712,"$19,580 ",10,0%,"2,099.90","15,440",57%,67.141
Pickaway County,"18,527",31%,117.994,"$24,341 ",404,1%,"1,698.84","18,123",62%,60.405
Pike County,"11,613",41%,64.981,"$20,292 ",154,2%,"1,205.67","11,459",54%,48.793
Portage County,"6,755",4%,336.509,"$25,926 ",124,0%,"1,226.72","6,631",13%,132.239
Preble County,577,1%,95.544,"$23,603 ",.,.,"1,825.07",577,2%,65.647
Putnam County,"10,244",32%,66.134,"$26,060 ",.,.,"1,022.30","10,244",38%,56.234
Richland County,"17,338",14%,242.273,"$21,959 ","6,137",7%,"1,480.51","11,201",30%,86.165
Ross County,"6,321",8%,115.954,"$21,536 ",.,.,"1,945.82","6,321",14%,68.968
Sandusky County,"4,154",7%,143.671,"$23,236 ",.,.,"1,770.54","4,154",16%,64.681
Scioto County,"14,140",18%,131.633,"$20,045 ",.,.,"1,962.49","14,140",32%,73.714
Seneca County,"7,260",13%,98.391,"$22,552 ",.,.,"2,601.01","7,260",30%,45.605
Shelby County,"5,948",12%,121.621,"$25,603 ",.,.,"1,813.92","5,948",24%,61.998
Stark County,"97,466",26%,646.522,"$24,821 ","82,227",26%,"1,677.03","15,239",31%,129.593
Summit County,"1,130",0%,"1,313.46","$28,389 ",919,0%,"1,785.51",211,1%,170.429
Trumbull County,"11,045",5%,328.294,"$23,139 ","2,282",2%,"1,365.69","8,763",16%,109.235
Tuscarawas County,"18,849",21%,155.961,"$22,617 ","1,913",4%,"1,825.63","16,936",46%,68.422
Union County,"12,056",22%,128.884,"$28,648 ",.,.,"2,269.41","12,056",46%,62.457
Van Wert County,"7,651",29%,64.422,"$23,686 ",.,.,"1,648.29","7,651",59%,32.151
Vinton County,"7,930",61%,31.441,"$18,198 ",.,.,.,"7,930",61%,31.441
Warren County,"6,051",3%,582.823,"$33,421 ",45,0%,"1,752.49","6,006",16%,130.626
Washington County,"15,127",25%,96.43,"$23,933 ","1,671",6%,"1,419.92","13,456",38%,57.106
Wayne County,"58,836",51%,208.742,"$23,151 ","25,166",44%,"1,516.55","33,670",57%,114.081
